"lncRNAs","GNCoding","Genes","GPCoding","miRNAs"
"ENSG00000130600","H19","ENSG00000006432","MAP3K9","hsa-miR-107,hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-370-3p,hsa-miR-454-3p,hsa-miR-103a-3p,hsa-miR-130b-3p,hsa-miR-3666"
"ENSG00000130600","H19","ENSG00000221978","CCNL2","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000138639","ARHGAP24","hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000141622","RNF165","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000054598","FOXC1","hsa-miR-107,hsa-miR-138-5p,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000148468","FAM171A1","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000171310","CHST11","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000060237","WNK1","hsa-miR-107,hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-103a-3p,hsa-miR-130b-3p,hsa-miR-3666"
"ENSG00000130600","H19","ENSG00000027869","SH2D2A","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000132128","LRRC41","hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000105971","CAV2","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000078401","EDN1","hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000197959","DNM3","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000137992","DBT","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000106484","MEST","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000176907","TCIM","hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000175445","LPL","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000166123","GPT2","hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-130b-3p"
"ENSG00000130600","H19","ENSG00000119866","BCL11A","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-107,hsa-miR-4295,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-103a-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000123219","CENPK","hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000133247","KMT5C","hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p"
"ENSG00000130600","H19","ENSG00000111696","NT5DC3","hsa-miR-107,hsa-miR-103a-3p"
"ENSG00000130600","H19","ENSG00000026025","VIM","hsa-miR-138-5p"
